gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
ESPORTSTMNT02/1321505,PCS,Alpha Esports,Resurgence,Aatrox,Ekko,Azir,Aphelios,Nautilus,Ornn,Olaf,Lucian,Varus,Bard
ESPORTSTMNT02/1287039,VCS,Saigon Buffalo,GAM Esports,Ornn,Shyvana,Zoe,MissFortune,Thresh,Mordekaiser,Sejuani,Pantheon,Senna,TahmKench
ESPORTSTMNT03/1340560,PCS,Berjaya Dragons,Alpha Esports,Sett,JarvanIV,Ryze,Ezreal,Braum,Aatrox,Sejuani,Akali,Varus,TahmKench
ESPORTSTMNT03/1443236,VCS,GAM Esports,EVOS Esports,Kennen,Nidalee,Pantheon,Ashe,Bard,Jayce,Gragas,Sett,Aphelios,Blitzcrank
ESPORTSTMNT02/1281506,LCS,Dignitas,Golden Guardians,Gangplank,Elise,Orianna,MissFortune,Leona,Ornn,JarvanIV,Diana,Aphelios,Thresh
ESPORTSTMNT06/1310393,TCL,5 Ronin,İstanbul Wildcats,Jayce,Taliyah,Pantheon,Senna,Leona,Mordekaiser,Sett,Ziggs,Jhin,Thresh
5955-7311,LPL,Dominus Esports,LGD Gaming,Renekton,LeeSin,Cassiopeia,Aphelios,Nautilus,Gnar,Gragas,Pantheon,MissFortune,Thresh
6575-8903,LDL,WanZhen Esports Club,LinGan e-Sports,Kennen,Volibear,Syndra,Caitlyn,Morgana,Renekton,Graves,Ekko,Ashe,TahmKench
ESPORTSTMNT02/1294244,VCS,Saigon Buffalo,EVOS Esports,Sett,Olaf,Karma,Varus,TahmKench,Mordekaiser,JarvanIV,Ryze,MissFortune,Braum
ESPORTSTMNT04/1130264,TCL,Papara SuperMassive,Team AURORA,Sett,Olaf,Nautilus,MissFortune,Leona,Mordekaiser,JarvanIV,Ziggs,Varus,Thresh
ESPORTSTMNT02/1394758,VCS,Team Secret,OverPower Esports,Volibear,Graves,Zoe,Ezreal,Braum,Renekton,Nidalee,Tristana,Aphelios,Nautilus
ESPORTSTMNT02/1286938,LCK,Hanwha Life Esports,KT Rolster,Camille,JarvanIV,Syndra,MissFortune,Yuumi,Aatrox,Elise,Azir,Senna,Volibear
ESPORTSTMNT06/1310575,EM,FC Schalke 04 Evolution,LDLC OL,Shen,Sett,Akali,Ezreal,Leona,Lillia,Hecarim,Zoe,Senna,Thresh
ESPORTSTMNT02/1392355,LLA,All Knights,Rainbow7,Aatrox,JarvanIV,Syndra,Ezreal,Yuumi,Hecarim,Trundle,Ekko,Jhin,Bard
ESPORTSTMNT01/1293393,LCK,Afreeca Freecs,Griffin,Kennen,JarvanIV,Viktor,Ashe,Rumble,Mordekaiser,LeeSin,Ornn,Aphelios,Thresh
ESPORTSTMNT06/1180520,TCL,Team AURORA,5 Ronin,Aatrox,Trundle,Ziggs,MissFortune,Nautilus,Camille,Pantheon,Cassiopeia,Ezreal,Bard
ESPORTSTMNT02/1393752,CK,Element Mystic,ESC Shane,Lucian,Elise,Sett,Syndra,Pantheon,Aatrox,Trundle,Zoe,Aphelios,Yuumi
6084-7605,LPL,Royal Never Give Up,Dominus Esports,Sett,JarvanIV,Azir,Kaisa,Nautilus,Jax,Trundle,Corki,MissFortune,Leona
6392-8280,LDL,LNG Academy,Royal Club,Volibear,Graves,TwistedFate,Jhin,Karma,Renekton,Ekko,Qiyana,Ashe,Nautilus
ESPORTSTMNT03/1432969,VCS,Team Flash,GAM Esports,Camille,Trundle,Syndra,Ezreal,Pantheon,Volibear,LeeSin,Ryze,Jhin,Bard
ESPORTSTMNT03/1430725,OPL,Dire Wolves,Chiefs Esports Club,Fiora,Graves,Syndra,Kaisa,Blitzcrank,Camille,Karthus,Sett,Ashe,Braum
ESPORTSTMNT04/1240486,TCL,Galatasaray Esports,Royal Youth,Jayce,Graves,Galio,Cassiopeia,Sett,Urgot,Khazix,TwistedFate,Senna,TahmKench
ESPORTSTMNT03/1441795,LCK,Hanwha Life Esports,SANDBOX Gaming,Renekton,Volibear,Ekko,Jhin,Leona,Ornn,Sett,Azir,Caitlyn,Braum
ESPORTSTMNT02/1333920,CK,hyFresh Blade,Spear Gaming,Aatrox,JarvanIV,Syndra,Varus,Thresh,Ornn,LeeSin,Zoe,MissFortune,Nautilus
6335-8077,LDL,Royal Club,WanZhen Esports Club,MonkeyKing,JarvanIV,Corki,Aphelios,Thresh,Malphite,Graves,Karma,Ezreal,Braum
ESPORTSTMNT04/1240500,TCL,Dark Passage,5 Ronin,MonkeyKing,Olaf,Azir,Senna,Nautilus,Camille,Sejuani,Orianna,Ezreal,Galio
ESPORTSTMNT01/1310283,LFL,Vitality.Bee,GameWard,Renekton,Gragas,Azir,Kaisa,Taric,Shen,LeeSin,Kassadin,Ezreal,Leona
ESPORTSTMNT01/1432354,CBLOL,Vivo Keyd,FURIA Esports,MonkeyKing,Kindred,TwistedFate,Kaisa,Nautilus,Malphite,Trundle,Galio,Jhin,Thresh
ESPORTSTMNT01/1402239,BRCC,Team oNe eSports,RED Canids,Renekton,Trundle,Viktor,Aphelios,Lulu,MonkeyKing,Kindred,Azir,Nautilus,Soraka
ESPORTSTMNT02/1394298,CK,hyFresh Blade,RunAway,Aatrox,Trundle,TwistedFate,Ashe,Thresh,Fiora,JarvanIV,Orianna,Jhin,Sett
ESPORTSTMNT06/1300805,TCL,Papara SuperMassive,İstanbul Wildcats,Renekton,Nidalee,Azir,Aphelios,Thresh,Ornn,Trundle,Corki,Ezreal,Karma
ESPORTSTMNT01/1304487,VCS,Team Flash,GAM Esports,Sett,RekSai,Rumble,MissFortune,Nautilus,Akali,LeeSin,Pantheon,Syndra,Leona
ESPORTSTMNT06/1300753,TRA,Dark Passage Academy,Galatasaray Academy,Aatrox,Trundle,Syndra,Lucian,Blitzcrank,MonkeyKing,Volibear,Vladimir,Ezreal,Thresh
6084-7608,LPL,Dominus Esports,Royal Never Give Up,Camille,Trundle,Leblanc,MissFortune,Nautilus,Aatrox,Elise,Kassadin,Varus,Braum
6661-8765,LPL,Invictus Gaming,Vici Gaming,Rumble,Sett,Zed,Ashe,Lulu,Jayce,Graves,Zoe,Caitlyn,Lux
6281-7893,LDL,All Combo,WanZhen Esports Club,MonkeyKing,Taliyah,Qiyana,Aphelios,Thresh,Hecarim,Trundle,Syndra,Ezreal,Nautilus
5988-7389,LPL,Invictus Gaming,Top Esports,Rumble,Zac,Jayce,Aphelios,Karma,Renekton,Gragas,Leblanc,Senna,Nautilus
ESPORTSTMNT02/1320811,LCS.A,TSM Academy,100 Thieves Academy,Renekton,JarvanIV,Syndra,Aphelios,Braum,Gangplank,Sett,Orianna,MissFortune,Nautilus
ESPORTSTMNT03/1351045,PCS,ahq eSports Club,Talon Esports,Sett,LeeSin,Galio,Aphelios,Nautilus,Gangplank,Elise,Pantheon,Syndra,Leona
